"job_id","employer","job_name","salary","skills"
226942,"Mantys","Data Analyst","650000.0",""
547382,"Meta","Data Analyst","336500.0",""
552322,"AT&T","Data Analyst","255829.5","sql, python, r, azure, databricks, aws, pandas, pyspark, jupyter, excel, tableau, power bi, powerpoint"
99305,"Pinterest Job Advertisements","Data Analyst","232423.0","sql, python, r, hadoop, tableau"
1021647,"Uclahealthcareers","Data Analyst","217000.0","sql, crystal, oracle, tableau, flow"
168310,"SmartAsset","Data Analyst","205000.0","sql, python, go, snowflake, pandas, numpy, excel, tableau, gitlab"
731368,"Inclusively","Data Analyst","189309.0","sql, python, azure, aws, oracle, snowflake, tableau, power bi, sap, jenkins, bitbucket, atlassian, jira, confluence"
310660,"Motional","Data Analyst","189000.0","sql, python, r, git, bitbucket, atlassian, jira, confluence"
1749593,"SmartAsset","Data Analyst","186000.0","sql, python, go, snowflake, pandas, numpy, excel, tableau, gitlab"
387860,"Get It Recruit - Information Technology","Data Analyst","184000.0","sql, python, r"
